aug_id,mean_gain,median_gain,help_rate,hurt_rate,p05_gain,p90_gain,p95_gain,p99_gain,augmentation_name,transform_class,selection_frequency,oracle_frequency,global_weight,class_mean_weight,class_active_frequency,help_minus_hurt_rate,global_weight_rank,mean_gain_rank
aug_079,-0.2194384268875949,-0.00016028897,0.291,0.6736,-2.58032361,0.30551276400000016,1.1599786649999997,3.6249589739999943,median_blur_5,MedianBlur,0.245,0.1538,0.006125844,0.013408476,1.0,-0.3826,26,84
aug_018,-0.6972549578214478,-0.00554169025,0.26244,0.71728,-4.897362395,0.18776831800000096,1.3112973049999992,4.2778811079999945,safe_rotate_minus_40,SafeRotate,0.0188,0.175,0.0045021614,0.01220945,1.0,-0.45484,27,95
aug_003,-1.179318872250351,-0.063264355,0.21092,0.7726,-6.281634534999999,0.1373152630000004,1.306562749999999,4.614563295,square_r270,SquareSymmetry,0.0188,0.1456,0.0041783275,0.012400901,1.0,-0.56168,28,100
aug_023,0.000421992062270009,-1.1920932e-07,0.43112,0.506,-0.7886660565,0.2713781670000001,0.7896113775,2.1131059009999986,scale_105,Affine,0.0,0.1996,0.0027808943,0.014274818,1.0,-0.07488,29,3
aug_006,0.00013802979053302862,-2.384188e-07,0.42288,0.5192,-0.8796737,0.31394244200000027,0.8880598024999994,2.2374179349999985,rotate_minus_5,Rotate,0.0,0.1956,0.0027422942,0.013620082,1.0,-0.09632000000000002,30,4
aug_022,-0.002041335027374704,-3.576282e-07,0.4164,0.52364,-0.833448275,0.28508686100000097,0.8086360579999989,2.1444068669999985,scale_095,Affine,0.0,0.1766,0.0027378837,0.011548097,1.0,-0.10724,31,13
aug_015,-0.29382278986455096,-0.00023565045499999998,0.3052,0.66608,-3.05310252,0.3296546720000004,1.2931541,3.991340206999989,rotate_plus_40,Rotate,0.1752,0.1942,0.0024904646,0.015885852,1.0,-0.36088,32,90
aug_090,-0.08424185318074598,-2.4199967000000002e-05,0.32448,0.63128,-1.647340315,0.30139266500000117,1.0368977649999989,3.225700555999986,jpeg_quality_50,ImageCompression,0.0882,0.1674,0.0022821003,0.013436824,1.0,-0.30679999999999996,33,69
aug_013,-0.1375352404744725,-2.9147624500000002e-05,0.3468,0.6164,-2.133236185,0.35950851600000394,1.262014205,3.4569697119999994,rotate_plus_30,Rotate,0.3134,0.2148,0.0017181096,0.015067311,1.0,-0.26959999999999995,34,76
aug_049,-0.05431647552368502,-3.218664e-06,0.37688,0.56684,-1.09638746,0.23009990900000074,0.752090908,2.163671023999996,clahe_clip_2,CLAHE,0.3,0.2082,0.0015000503,0.011919898,1.0,-0.18996000000000002,35,63
aug_094,-0.3377610098619164,-0.00067925065,0.258,0.71412,-3.3223311549999996,0.3240781570000034,1.3307376199999972,4.092063919999998,webp_quality_10,ImageCompression,0.0178,0.1506,0.0014249214,0.013397951,1.0,-0.45611999999999997,36,91
aug_093,-0.18228462348060456,-0.00010157229,0.30168,0.66144,-2.329141795,0.32210769600000017,1.1817539599999989,3.4880640589999725,webp_quality_25,ImageCompression,0.0426,0.1686,0.0014192521,0.01290157,1.0,-0.35976,37,79
aug_017,-0.1968367130342349,-9.1320455e-05,0.31548,0.65464,-2.467968075,0.33114123600000006,1.2577125449999995,3.6447339109999968,safe_rotate_plus_20,SafeRotate,0.2912,0.1808,0.0013630767,0.015850363,1.0,-0.33916,38,81
aug_014,-0.2861055980997002,-0.000215594535,0.30784,0.66368,-3.05112957,0.3526182060000018,1.328667299999999,3.9437103159999776,rotate_minus_40,Rotate,0.253,0.1978,0.0012716912,0.013487215,1.0,-0.35584000000000005,39,87
aug_027,-0.0012243073332611105,0.0,0.44092,0.49272,-0.6772257825,0.23458764600000062,0.6775076859999999,1.7785493879999965,shear_x_plus_5,Affine,0.0004,0.1952,0.0011435618,0.012474062,1.0,-0.05180000000000001,40,9
